return_id,order_line_id,return_initiated_date_key,return_received_date_key,reported_reason_code,item_condition_on_receipt,quantity_returned,refund_amount,refund_method
R00000036,OL000000092,20250327,20250331,R006,resellable,1,122.9,wallet_credit
R00000037,OL000000094,20260406,20260415,R009,resellable,1,164.14,original_payment
R00000038,OL000000102,20250404,20250412,R003,resellable,1,73.8,manual_refund
R00000039,OL000000103,20250801,20250808,R003,resellable,1,42.49,wallet_credit
R00000040,OL000000104,20260330,20260401,R001,resellable,1,39.51,manual_refund
R00000041,OL000000106,20250430,20250504,R002,resellable,1,84.77,manual_refund
R00000042,OL000000110,20251022,20251025,R001,resellable,1,150.78,original_payment
R00000043,OL000000112,20250502,20250507,R001,resellable,1,39.37,original_payment
R00000044,OL000000115,20260620,20260624,R004,write_off,1,116.65,manual_refund
R00000045,OL000000117,20251213,20251218,R001,resellable,2,266.44,original_payment
R00000046,OL000000120,20250823,20250825,R003,refurbishable,1,190.27,wallet_credit
R00000047,OL000000121,20260430,20260502,R002,refurbishable,1,47.15,original_payment
R00000048,OL000000123,20260511,20260520,R001,resellable,1,248.27,original_payment
R00000049,OL000000126,20250814,20250819,R001,resellable,1,51.51,original_payment
R00000050,OL000000128,20260320,20260324,R010,resellable,1,143.74,original_payment
R00000051,OL000000129,20250522,20250524,R009,refurbishable,1,116.41,original_payment
R00000052,OL000000130,20250228,20250303,R003,refurbishable,1,112.84,original_payment
R00000053,OL000000134,20260413,20260421,R002,resellable,1,198.06,original_payment
R00000054,OL000000136,20260624,20260626,R003,resellable,1,50.48,original_payment
R00000055,OL000000137,20260522,20260524,R003,resellable,1,116.85,original_payment
R00000056,OL000000138,20250618,20250621,R004,write_off,1,97.67,original_payment
R00000057,OL000000139,20260416,20260418,R004,refurbishable,1,94.35,wallet_credit
R00000058,OL000000145,20260218,20260225,R002,refurbishable,1,101.26,manual_refund
R00000059,OL000000148,20251025,20251103,R003,refurbishable,1,731.46,original_payment
R00000060,OL000000149,20250612,20250615,R003,resellable,1,278.71,original_payment
R00000061,OL000000150,20250718,20250726,R004,write_off,1,159.85,original_payment
R00000062,OL000000151,20260327,20260405,R003,resellable,2,1425.2,original_payment
R00000063,OL000000154,20260125,20260129,R002,resellable,1,43.57,original_payment
R00000064,OL000000156,20260317,20260322,R007,resellable,1,95.46,original_payment
R00000065,OL000000158,20250409,20250415,R006,refurbishable,1,147.91,original_payment
R00000066,OL000000164,20250227,20250304,R003,resellable,1,111.64,original_payment
R00000067,OL000000172,20250616,20250622,R002,resellable,1,86.0,wallet_credit
R00000068,OL000000175,20250221,20250228,R010,write_off,1,66.26,original_payment
R00000069,OL000000186,20250604,20250609,R002,resellable,1,525.25,original_payment
R00000070,OL000000188,20251106,20251114,R003,refurbishable,1,203.53,original_payment
R00000071,OL000000189,20250219,20250223,R001,refurbishable,1,176.67,wallet_credit
R00000072,OL000000194,20250726,20250729,R004,resellable,1,88.26,original_payment
R00000073,OL000000196,20250221,20250227,R001,write_off,1,103.07,original_payment
R00000074,OL000000198,20251003,20251009,R007,resellable,1,212.15,original_payment
R00000075,OL000000199,20260505,20260512,R003,resellable,1,177.86,original_payment
R00000076,OL000000200,20250409,20250416,R001,resellable,1,333.88,original_payment
R00000077,OL000000201,20250830,20250904,R010,refurbishable,1,128.1,wallet_credit
R00000078,OL000000207,20250222,20250303,R001,resellable,1,108.76,manual_refund
R00000079,OL000000212,20260630,20260704,R001,resellable,1,250.88,original_payment
R00000080,OL000000214,20251219,20251227,R001,resellable,1,382.61,original_payment
R00000081,OL000000219,20251211,20251219,R001,refurbishable,1,115.85,wallet_credit
R00000082,OL000000222,20260105,20260108,R007,refurbishable,1,198.61,original_payment
R00000083,OL000000224,20250406,20250410,R005,resellable,2,808.66,original_payment
R00000084,OL000000233,20260103,20260107,R002,refurbishable,1,224.14,original_payment
R00000085,OL000000234,20251129,20251203,R001,resellable,1,185.09,original_payment
R00000086,OL000000236,20260417,20260423,R001,resellable,1,91.84,wallet_credit
R00000087,OL000000238,20250314,20250319,R004,write_off,1,233.32,original_payment
R00000088,OL000000242,20260625,20260630,R004,refurbishable,1,128.54,original_payment
R00000089,OL000000245,20260313,20260317,R002,resellable,1,505.16,original_payment
R00000090,OL000000246,20260322,20260325,R002,resellable,1,79.93,original_payment
R00000091,OL000000248,20250802,20250810,R007,resellable,1,794.25,original_payment
R00000092,OL000000249,20260429,20260505,R001,refurbishable,1,154.54,original_payment
R00000093,OL000000253,20250504,20250507,R001,resellable,1,240.03,original_payment
R00000094,OL000000254,20250603,20250612,R002,resellable,1,90.61,original_payment
R00000095,OL000000256,20260625,20260701,R007,resellable,1,49.43,wallet_credit
R00000096,OL000000258,20250914,20250923,R010,resellable,1,193.75,original_payment
R00000097,OL000000263,20250731,20250804,R001,resellable,1,217.51,original_payment
R00000098,OL000000264,20251128,20251205,R006,resellable,1,37.15,manual_refund
R00000099,OL000000268,20260617,20260620,R003,resellable,1,80.79,original_payment
R00000100,OL000000272,20260712,20260715,R006,resellable,1,846.32,original_payment
R00000101,OL000000273,20260315,20260324,R002,resellable,1,108.13,original_payment
R00000102,OL000000277,20260312,20260321,R001,refurbishable,1,64.59,original_payment
R00000103,OL000000281,20250520,20250522,R006,resellable,1,113.42,original_payment
R00000104,OL000000282,20250917,20250919,R005,refurbishable,1,208.64,original_payment
R00000105,OL000000283,20250818,20250826,R002,refurbishable,1,135.29,wallet_credit
R00000106,OL000000284,20251231,20260102,R009,resellable,1,137.69,original_payment
R00000107,OL000000285,20250112,20250114,R003,resellable,1,248.37,original_payment
R00000108,OL000000288,20250203,20250208,R002,refurbishable,1,206.52,original_payment
R00000109,OL000000292,20260701,20260709,R001,refurbishable,1,58.48,wallet_credit
R00000110,OL000000300,20260515,20260519,R003,resellable,1,164.17,original_payment
R00000111,OL000000304,20250317,20250324,R005,write_off,1,179.81,original_payment
R00000112,OL000000305,20251019,20251026,R003,resellable,1,172.03,original_payment
R00000113,OL000000306,20250707,20250716,R001,resellable,1,117.98,original_payment
R00000114,OL000000307,20250927,20251002,R010,resellable,1,257.96,original_payment
R00000115,OL000000310,20260421,20260425,R003,resellable,3,209.82,original_payment
R00000116,OL000000317,20250329,20250407,R003,resellable,1,173.21,original_payment
R00000117,OL000000318,20260426,20260501,R003,resellable,1,313.86,original_payment
R00000118,OL000000319,20250309,20250314,R003,refurbishable,1,212.77,original_payment
R00000119,OL000000320,20260302,20260306,R001,resellable,1,110.34,original_payment
R00000120,OL000000323,20250221,20250228,R002,resellable,2,247.84,wallet_credit
R00000121,OL000000324,20260522,20260528,R006,refurbishable,1,66.57,manual_refund
R00000122,OL000000326,20260523,20260526,R001,refurbishable,1,156.92,original_payment
R00000123,OL000000329,20260426,20260429,R006,write_off,1,246.63,original_payment
R00000124,OL000000335,20260104,20260107,R009,refurbishable,1,193.24,original_payment
R00000125,OL000000336,20250125,20250201,R008,resellable,1,106.94,original_payment
R00000126,OL000000339,20250711,20250717,R003,resellable,1,174.24,original_payment
R00000127,OL000000341,20250606,20250614,R010,resellable,1,105.26,original_payment
R00000128,OL000000342,20260508,20260510,R004,resellable,1,120.85,original_payment
R00000129,OL000000343,20250828,20250830,R002,resellable,1,411.8,original_payment
R00000130,OL000000346,20250128,20250206,R006,resellable,1,247.97,original_payment
R00000131,OL000000347,20251219,20251221,R003,refurbishable,1,77.16,wallet_credit
R00000132,OL000000348,20251209,20251214,R003,resellable,1,75.23,wallet_credit
R00000133,OL000000354,20250328,20250405,R001,resellable,3,2476.68,wallet_credit
R00000134,OL000000355,20260726,20260730,R004,write_off,1,148.14,wallet_credit
R00000135,OL000000356,20260102,20260109,R003,resellable,2,121.74,wallet_credit
R00000136,OL000000361,20251202,20251210,R001,resellable,1,60.51,original_payment
R00000137,OL000000362,20260427,20260502,R002,refurbishable,1,136.63,original_payment
R00000138,OL000000365,20260522,20260527,R003,write_off,1,111.45,manual_refund
R00000139,OL000000366,20250728,20250804,R001,resellable,1,79.53,original_payment
R00000140,OL000000377,20250624,20250703,R003,refurbishable,1,74.58,wallet_credit
R00000141,OL000000378,20251120,20251127,R002,resellable,2,267.44,original_payment
R00000142,OL000000381,20250830,20250903,R001,resellable,1,125.29,original_payment
R00000143,OL000000385,20260326,20260331,R007,resellable,1,223.48,original_payment
R00000144,OL000000388,20250511,20250513,R007,resellable,1,44.31,original_payment
R00000145,OL000000389,20260607,20260612,R001,resellable,2,327.26,original_payment
R00000146,OL000000395,20251202,20251204,,resellable,1,361.87,original_payment
R00000147,OL000000397,20260408,20260411,R005,write_off,1,102.36,original_payment
R00000148,OL000000400,20250801,20250807,R003,refurbishable,1,151.47,original_payment
R00000149,OL000000401,20260114,20260123,R002,resellable,1,67.47,original_payment
R00000150,OL000000403,20250403,20250411,R001,resellable,1,143.97,original_payment
R00000151,OL000000411,20260108,20260115,R002,refurbishable,1,660.96,original_payment
R00000152,OL000000412,20260405,20260407,R010,resellable,1,152.34,original_payment
R00000153,OL000000414,20250720,20250725,R001,resellable,1,286.28,original_payment
R00000154,OL000000416,20250511,20250517,R003,resellable,1,141.08,original_payment
R00000155,OL000000417,20260202,20260207,R003,resellable,2,184.44,original_payment
R00000156,OL000000422,20250523,20250530,R002,resellable,1,140.58,wallet_credit
R00000157,OL000000423,20250619,20250622,R002,resellable,1,80.59,wallet_credit
R00000158,OL000000424,20250711,20250718,R005,write_off,1,170.87,original_payment
R00000159,OL000000425,20250123,20250125,R002,resellable,1,112.54,manual_refund
R00000160,OL000000427,20250901,20250905,R001,resellable,1,379.73,original_payment
R00000161,OL000000428,20260522,20260524,R003,refurbishable,1,34.68,original_payment
R00000162,OL000000429,20251204,20251213,R003,resellable,1,15.73,original_payment
R00000163,OL000000431,20251112,20251116,R001,resellable,1,118.21,original_payment
R00000164,OL000000435,20251209,20251212,R010,refurbishable,1,220.62,original_payment
R00000165,OL000000437,20250407,20250415,R006,resellable,1,100.94,original_payment
R00000166,OL000000438,20251109,20251112,R002,write_off,1,205.55,wallet_credit
R00000167,OL000000442,20260207,20260209,R005, refurbishable ,1,62.18,original_payment
R00000168,OL000000448,20260105,20260108,R007,refurbishable,1,92.74,original_payment
R00000169,OL000000459,20250717,20250723,R003,resellable,1,340.39,wallet_credit
R00000170,OL000000461,20260424,20260426,R006,resellable,1,177.82,original_payment
R00000171,OL000000462,20250223,20250302,R006,resellable,1,96.59,original_payment
R00000172,OL000000467,20260802,20260810,R004,resellable,1,149.88,wallet_credit
R00000173,OL000000468,20250429,20250507,R006,resellable,1,69.41,original_payment
R00000174,OL000000469,20250627,20250630,R001,resellable,1,81.16,manual_refund
R00000175,OL000000470,20250520,20250524,R003,write_off,1,44.95,original_payment
R00000176,OL000000471,20251005,20251009,R002,resellable,1,44.24,original_payment
R00000177,OL000000472,20250907,20250912,R001,resellable,1,337.04,original_payment
R00000178,OL000000474,20250929,20251008,R007,refurbishable,1,98.44,original_payment
R00000179,OL000000475,20250411,20250420,R002,resellable,1,109.04,original_payment
R00000180,OL000000477,20260520,20260525,R001,refurbishable,1,202.37,wallet_credit
R00000181,OL000000484,20260504,20260507,R003,resellable,1,139.77,original_payment
R00000182,OL000000486,20260422,20260424,R001,resellable,1,314.09,wallet_credit
R00000183,OL000000489,20250309,20250312,R001,write_off,1,329.99,original_payment
R00000184,OL000000492,20251202,20251205,R010,refurbishable,1,139.71,wallet_credit
R00000185,OL000000496,20250331,20250409,R007,resellable,1,94.38,original_payment
R00000186,OL000000497,20250411,20250420,R003,write_off,1,157.25,original_payment
R00000187,OL000000498,20260502,20260507,R001,refurbishable,1,90.42,original_payment
R00000188,OL000000501,20250524,20250529,R002,write_off,1,62.42,wallet_credit
R00000189,OL000000502,20260516,20260518,R002,write_off,1,120.92,original_payment
R00000190,OL000000504,20260220,20260224,R001,resellable,1,154.12,original_payment
R00000191,OL000000505,20250915,20250923,R003,resellable,1,76.26,manual_refund
R00000192,OL000000506,20260206,20260211,R004,write_off,1,92.12,original_payment
R00000193,OL000000507,20251026,20251028,R001,resellable,1,100.85,manual_refund
R00000194,OL000000508,20260131,20260209,R007,resellable,1,244.17,original_payment
R00000195,OL000000510,20250520,20250522,R009,resellable,1,337.91,wallet_credit
R00000196,OL000000512,20250112,20250120,R001,resellable,1,64.61,original_payment
R00000197,OL000000516,20250913,20250918,R003,refurbishable,1,199.42,original_payment
R00000198,OL000000517,20260119,20260123,R010,resellable,3,648.21,original_payment
R00000199,OL000000518,20260622,20260624,R006,resellable,1,193.83,original_payment
R00000200,OL000000521,20250407,20250411,R001,resellable,1,172.13,original_payment
R00000201,OL000000523,20260411,20260417,R003,resellable,1,89.05,original_payment
R00000202,OL000000524,20250512,20250518,R002,resellable,1,227.23,original_payment
R00000203,OL000000527,20260406,20260410,R003,refurbishable,1,134.2,original_payment
R00000204,OL000000532,20251006,20251015,R004,resellable,1,223.25,original_payment
R00000205,OL000000533,20260312,20260315,R002,resellable,1,89.08,original_payment
R00000206,OL000000535,20250417,20250426,R001,resellable,1,99.93,manual_refund
R00000207,OL000000536,20250715,20250718,R009,refurbishable,1,158.42,manual_refund
R00000208,OL000000540,20250701,20250704,R001,resellable,1,67.03,original_payment
R00000209,OL000000543,20250529,20250607,R001,write_off,1,151.51,original_payment
R00000210,OL000000547,20260105,20260109,R006,resellable,1,123.81,original_payment
R00000211,OL000000549,20260426,20260503,R004,resellable,1,137.09,original_payment
R00000212,OL000000550,20250804,20250808,R002,refurbishable,1,63.45,original_payment
R00000213,OL000000554,20250726,20250802,R002,refurbishable,1,151.23,wallet_credit
R00000214,OL000000558,20250611,20250620,R001,write_off,1,247.8,wallet_credit
R00000215,OL000000560,20260703,20260710,R003,resellable,1,99.57,wallet_credit
R00000216,OL000000563,20250301,20250306,R005,write_off,1,162.05,wallet_credit
R00000217,OL000000567,20250508,20250510,R004,refurbishable,1,183.85,original_payment
R00000218,OL000000569,20260115,20260118,R005,write_off,1,183.15,wallet_credit
R00000219,OL000000570,20250224,20250305,R002,resellable,1,69.43,original_payment
R00000220,OL000000571,20251018,20251021,R008,resellable,1,69.45,original_payment
R00000221,OL000000572,20251209,20251218,R006,write_off,1,212.98,original_payment
R00000222,OL000000577,20251215,20251224,R005,write_off,1,31.73,original_payment
R00000223,OL000000578,20260225,20260304,R003,resellable,1,69.08,original_payment
R00000224,OL000000580,20260304,20260311,R007,write_off,1,62.74,original_payment
R00000225,OL000000582,20251220,20251227,R003,resellable,1,569.82,wallet_credit
R00000226,OL000000583,20250502,20250506,R009,write_off,1,175.72,original_payment
R00000227,OL000000587,20260518,20260522,R003,refurbishable,1,490.35,original_payment
R00000228,OL000000588,20250918,20250924,R010,resellable,1,132.77,original_payment
R00000229,OL000000589,20250828,20250901,R001,refurbishable,1,434.81,original_payment
R00000230,OL000000591,20250330,20250402,R004,resellable,1,107.5,wallet_credit
R00000231,OL000000602,20260411,20260417,R003,resellable,1,392.33,original_payment
R00000232,OL000000603,20250508,20250513,R006,resellable,1,127.59,original_payment
R00000233,OL000000606,20260529,20260601,R008,refurbishable,1,269.0,wallet_credit
R00000234,OL000000610,20260410,20260413,R003,refurbishable,1,78.7,original_payment
R00000235,OL000000611,20250421,20250427,R004,write_off,1,121.52,original_payment
R00000236,OL000000613,20250702,20250707,R003,refurbishable,2,241.94,wallet_credit
R00000237,OL000000614,20250221,20250228,R002,refurbishable,1,351.42,original_payment
R00000238,OL000000615,20260316,20260321,R001,refurbishable,1,251.12,wallet_credit
R00000239,OL000000617,20250324,20250402,R010,refurbishable,1,36.91,original_payment
R00000240,OL000000619,20250904,20250912,R005,write_off,1,74.0,original_payment
R00000241,OL000000621,20250204,20250206,R003,resellable,1,135.71,original_payment
R00000242,OL000000622,20250825,20250830,R002,resellable,1,249.99,wallet_credit
R00000243,OL000000625,20250110,20250114,R009,resellable,2,887.44,original_payment
R00000244,OL000000626,20250926,20250929,R007,resellable,1,538.98,original_payment
R00000245,OL000000627,20250331,20250405,R004,write_off,1,148.39,original_payment
R00000246,OL000000628,20251002,20251009,R003,refurbishable,2,125.9,original_payment
R00000247,OL000000630,20260406,20260415,R003,write_off,1,68.28,wallet_credit
R00000248,OL000000634,20250604,20250606,R003,RESELLABLE,1,81.62,wallet_credit
R00000249,OL000000636,20260310,20260314,R002,resellable,1,58.17,original_payment
R00000250,OL000000639,20250522,20250524,R001,resellable,1,270.49,original_payment
R00000251,OL000000640,20251229,20260102,R010,resellable,1,58.79,original_payment
R00000252,OL000000642,20250324,20250329,R003,resellable,1,57.23,original_payment
R00000253,OL000000644,20250702,20250708,R001,refurbishable,1,86.6,original_payment
R00000254,OL000000645,20250216,20250221,R010,resellable,1,240.02,original_payment
R00000255,OL000000650,20250913,20250918,R001,write_off,1,448.59,wallet_credit
R00000256,OL000000652,20250321,20250323,R003,resellable,1,49.95,original_payment
R00000257,OL000000653,20250911,20250920,R003,refurbishable,1,62.98,original_payment
R00000258,OL000000658,20250708,20250711,R010,resellable,1,252.2,original_payment
R00000259,OL000000665,20250617,20250626,R001,resellable,1,126.08,original_payment
R00000260,OL000000666,20250923,20250926,R004,refurbishable,1,192.47,wallet_credit
R00000261,OL000000677,20260405,20260411,R007,refurbishable,1,203.31,original_payment
R00000262,OL000000679,20251127,20251203,R003,resellable,1,114.83,wallet_credit
R00000263,OL000000680,20260617,20260619,R005,resellable,1,49.08,original_payment
R00000264,OL000000682,20251119,20251121,R001,refurbishable,1,65.61,original_payment
R00000265,OL000000683,20251022,20251026,R002,resellable,1,211.22,original_payment
R00000266,OL000000684,20251025,20251101,R005,write_off,2,121.88,wallet_credit
R00000267,OL000000685,20260307,20260314,R001,refurbishable,1,188.25,wallet_credit
R00000268,OL000000687,20251129,20251206,R002,resellable,1,175.47,original_payment
R00000269,OL000000689,20250220,20250228,R005,refurbishable,1,65.09,manual_refund
R00000270,OL000000690,20260403,20260406,R003,refurbishable,1,128.82,original_payment
R00000271,OL000000692,20250213,20250219,R009,write_off,1,27.63,original_payment
R00000272,OL000000695,20260428,20260430,R002,resellable,1,110.33,original_payment
R00000273,OL000000697,20250715,20250724,R004,write_off,1,339.59,manual_refund
R00000274,OL000000698,20251027,20251105,R009,resellable,1,79.14,original_payment
R00000275,OL000000699,20250922,20250926,R002,resellable,1,251.69,manual_refund
R00000276,OL000000702,20251220,20251225,R001,resellable,1,57.0,original_payment
R00000277,OL000000703,20250523,20250525,R002,refurbishable,1,79.47,original_payment
R00000278,OL000000704,20260228,20260309,R003,resellable,1,456.65,original_payment
R00000279,OL000000705,20250621,20250629,R002,write_off,1,166.01,original_payment
R00000280,OL000000708,20250508,20250513,R002,resellable,1,239.96,original_payment
R00000281,OL000000709,20250830,20250903,R003,refurbishable,1,57.06,original_payment
R00000282,OL000000710,20260308,20260311,R001,resellable,1,93.5,original_payment
R00000283,OL000000712,20250809,20250815,R001,resellable,1,102.38,original_payment
R00000284,OL000000714,20250330,20250405,R004,resellable,1,55.06,original_payment
R00000285,OL000000715,20260216,20260223,R007,resellable,1,41.59,original_payment
R00000286,OL000000721,20250925,20251002,R002,resellable,1,83.35,original_payment
R00000287,OL000000723,20260606,20260611,R007,resellable,1,225.24,original_payment
R00000288,OL000000728,20251215,20251221,R002,refurbishable,1,135.83,original_payment
R00000289,OL000000729,20250522,20250524,R003,resellable,1,334.56,wallet_credit
R00000290,OL000000730,20250520,20250524,R002,refurbishable,1,510.56,wallet_credit
R00000291,OL000000732,20250327,20250331,R001,refurbishable,1,550.14,original_payment
R00000292,OL000000735,20260124,20260128,R001,resellable,1,702.18,wallet_credit
R00000293,OL000000736,20250114,20250118,R007,resellable,1,192.26,original_payment
R00000294,OL000000738,20251228,20260101,R003,write_off,1,148.06,wallet_credit
R00000295,OL000000742,20260214,20260220,R001,refurbishable,1,165.34,wallet_credit
R00000296,OL000000744,20260213,20260218,R007,refurbishable,2,167.4,original_payment
R00000297,OL000000749,20260318,20260322,R007,resellable,1,214.5,original_payment
R00000298,OL000000751,20260207,20260212,R001,refurbishable,1,534.36,original_payment
R00000299,OL000000754,20250911,20250917,R001,refurbishable,1,223.06,original_payment
R00000300,OL000000755,20260117,20260126,R001,refurbishable,1,62.65,original_payment
R00000301,OL000000760,20250906,20250914,R001,write_off,1,74.47,original_payment
R00000302,OL000000765,20250416,20250425,R001,resellable,1,95.07,original_payment
R00000303,OL000000770,20260526,20260602,R009,refurbishable,1,37.72,manual_refund
R00000304,OL000000773,20260105,20260111,R010,resellable,1,84.78,original_payment
R00000305,OL000000774,20250121,20250130,R002,resellable,1,65.03,original_payment
R00000306,OL000000775,20250328,20250406,R002,resellable,1,420.9,original_payment
R00000307,OL000000776,20260520,20260525,R007,refurbishable,1,77.67,original_payment
R00000308,OL000000781,20250709,20250712,R009,resellable,1,32.5,wallet_credit
R00000309,OL000000783,20260306,20260313,R001,resellable,1,289.56,original_payment
R00000310,OL000000786,20250214,20250222,R001,resellable,1,68.78,original_payment
R00000311,OL000000788,20250517,20250521,R003,refurbishable,1,64.32,original_payment
R00000312,OL000000789,20250822,20250828,R003,resellable,1,266.19,wallet_credit
R00000313,OL000000790,20250517,20250520,R004,resellable,1,72.4,original_payment
R00000314,OL000000794,20250307,20250314,R001,refurbishable,1,123.89,original_payment
R00000315,OL000000797,20260627,20260703,R003,refurbishable,1,71.16,wallet_credit
R00000316,OL000000799,20250412,20250421,R001,resellable,1,257.89,original_payment
R00000317,OL000000800,20250423,20250428,R002,refurbishable,1,51.19,original_payment
R00000318,OL000000803,20250614,20250619,R001,resellable,1,160.39,wallet_credit
R00000319,OL000000804,20250218,20250223,R001,resellable,1,182.93,original_payment
R00000320,OL000000806,20250508,20250516,R002,write_off,1,182.65,original_payment
R00000321,OL000000807,20260507,20260515,R002,refurbishable,1,49.49,original_payment
R00000322,OL000000810,20251022,20251024,,resellable,1,115.88,original_payment
R00000323,OL000000812,20251214,20251223,R001,write_off,1,686.93,wallet_credit
R00000324,OL000000815,20260613,20260618,R002,resellable,1,144.84,original_payment
R00000325,OL000000817,20260129,20260202,R003,resellable,1,153.97,original_payment
R00000326,OL000000819,20250503,20250506,R002,resellable,1,90.37,original_payment
R00000327,OL000000826,20251105,20251109,R004,resellable,1,65.56,original_payment
R00000328,OL000000828,20260411,20260417,R001,resellable,1,45.65,manual_refund
R00000329,OL000000829,20250729,20250802,R003,resellable,1,58.44,original_payment
R00000330,OL000000831,20260428,20260507,R001,resellable,1,173.0,manual_refund
R00000331,OL000000832,20251205,20251208,R001,resellable,1,43.12,original_payment
R00000332,OL000000833,20260630,20260707,,resellable,1,118.02,original_payment
R00000333,OL000000834,20260618,20260620,R001,resellable,1,87.11,wallet_credit
R00000334,OL000000835,20260704,20260707,R004,write_off,1,192.86,original_payment
R00000335,OL000000836,20260309,20260317,R002,resellable,1,276.8,original_payment
R00000336,OL000000837,20260413,20260418,R003,resellable,1,163.53,manual_refund
R00000337,OL000000838,20250309,20250311,R003,write_off,1,85.89,original_payment
R00000338,OL000000840,20251212,20251216,R002,resellable,1,69.11,original_payment
R00000339,OL000000842,20260302,20260310,R002,resellable,1,102.54,original_payment
R00000340,OL000000846,20250923,20250930,R003,write_off,1,118.95,manual_refund
R00000341,OL000000847,20250504,20250512,R010,resellable,1,430.94,manual_refund
R00000342,OL000000850,20250520,20250524,R006,resellable,1,234.17,original_payment
R00000343,OL000000851,20250706,20250714,R003,resellable,1,197.14,wallet_credit
R00000344,OL000000859,20260315,20260317,R002,refurbishable,1,134.4,original_payment
R00000345,OL000000863,20260306,20260308,R001,resellable,1,88.28,original_payment
R00000346,OL000000864,20250401,20250409,R003,write_off,1,87.6,original_payment
R00000347,OL000000865,20250817,20250820,R003,resellable,1,111.64,original_payment
R00000348,OL000000866,20251210,20251219,R001,refurbishable,2,1403.88,wallet_credit
R00000349,OL000000867,20250124,20250126,R002,resellable,1,78.38,wallet_credit
R00000350,OL000000870,20251103,20251107,R003,resellable,1,112.35,wallet_credit
R00000351,OL000000873,20251019,20251027,R001,resellable,1,148.19,wallet_credit
R00000352,OL000000876,20250907,20250911,R008,refurbishable,1,126.06,original_payment
R00000353,OL000000877,20250710,20250715,R006,resellable,1,62.73,original_payment
R00000354,OL000000882,20260612,20260616,R004,resellable,1,140.53,original_payment
R00000355,OL000000884,20250530,20250602,R005,resellable,1,80.0,original_payment
R00000356,OL000000885,20250626,20250703,R003,resellable,1,67.61,original_payment
R00000357,OL000000886,20250927,20251003,R002,resellable,1,72.18,wallet_credit
R00000358,OL000000889,20260307,20260311,R001,refurbishable,1,720.79,wallet_credit
R00000359,OL000000891,20260416,20260421,R001,write_off,1,67.27,original_payment
R00000360,OL000000896,20260406,20260408,R002,resellable,1,128.57,wallet_credit
R00000361,OL000000900,20260121,20260123,R003,resellable,1,35.83,original_payment
R00000362,OL000000901,20250506,20250511,R002,resellable,2,91.12,original_payment
R00000363,OL000000902,20260201,20260207,R010,refurbishable,1,244.78,manual_refund
R00000364,OL000000907,20251201,20251210,R002,resellable,1,123.23,wallet_credit
R00000365,OL000000912,20251221,20251230,R001,resellable,1,60.53,wallet_credit
