seller_id,seller_name,seller_tier,fulfillment_type,seller_country,join_date
S00037,Nova Stores 36,T3,marketplace_fulfilled,local,2021-07-29
S00038,Emirates Trading 37,T3,marketplace_fulfilled,local,2024-01-24
S00039,Falcon General 38,T3,seller_fulfilled,cross_border,2024-02-09
S00040,Nova Stores 39,T1,marketplace_fulfilled,cross_border,2024-08-17
S00041,Prime General 40,T3,seller_fulfilled,local,2025-03-02
S00042,Desert Mart 41,T3,marketplace_fulfilled,cross_border,2025-07-11
S00043,Sahara General 42,T3,marketplace_fulfilled,LOCAL,2025-05-23
S00044,Falcon Trading 43,T2,marketplace_fulfilled,local,2025-09-07
S00045,Nova General 44,T3,marketplace_fulfilled,local,2024-07-13
S00046,Prime Retail 45,T2,seller_fulfilled,cross_border,2022-07-05
S00047,Prime General 46,T2,seller_fulfilled,local,06/08/2025
S00048,Gulf Trading 47,T3,seller_fulfilled,local,2025-08-31
S00049,Sahara General 48,T2,marketplace_fulfilled,cross_border,2024-09-06
S00050,Gulf Trading 49,T2,marketplace_fulfilled,local,2022-02-02
S00051,Falcon Trading 50,T2,marketplace_fulfilled,local,2023-04-29
S00052,Gulf Mart 51,T3,marketplace_fulfilled,local,2025-06-19
S00053,Prime Stores 52,T1,marketplace_fulfilled,local,2023-11-10
S00054,Gulf Retail 53,T3, marketplace_fulfilled ,local,2024-12-28
S00055,Sahara Stores 54,, seller_fulfilled ,local,2022-12-27
S00056,Pearl General 55,T3,seller_fulfilled,cross_border,2025-07-28
S00057,Falcon Trading 56,T3,marketplace_fulfilled,cross_border,2023-10-28
S00058,Desert Mart 57,T1,seller_fulfilled,local,2022-03-28
S00059,Sahara Trading 58,T3,marketplace_fulfilled,local,2021-11-21
S00060,Emirates Trading 59,T1,seller_fulfilled,cross_border,2025-04-24
S00061,Desert General 60,T3,marketplace_fulfilled,local,2024-01-23
S00062,Sahara Mart 61,T3,seller_fulfilled,local,2022-10-11
S00063,Nova Retail 62,T3,marketplace_fulfilled,local,2024-04-29
S00064,Falcon Retail 63,T2,seller_fulfilled,local,2021-06-09
S00065,Emirates Commerce 64,T3,marketplace_fulfilled,local,2021-08-06
S00066,Desert Trading 65,T3,seller_fulfilled,cross_border,2023-12-16
S00067,Pearl Commerce 66,T3,marketplace_fulfilled,local,2025-02-01
S00068,Sahara General 67,T3,seller_fulfilled,local,2025-07-21
S00069,Sahara General 68,T1,seller_fulfilled,cross_border,2022-05-11
S00070,Nova General 69,T3,seller_fulfilled,cross_border,2021-04-28
S00071,Pearl Retail 70,T3,seller_fulfilled,local,2022-10-19
S00072,Pearl Retail 71,T3,seller_fulfilled,cross_border,2023-11-03
S00073,Prime Stores 72,T2,seller fulfilled,local,2022-05-02
S00074,Falcon General 73,T3,seller_fulfilled,local,2023-02-24
S00075,Emirates Stores 74,,seller_fulfilled,local,2023-09-07
S00076,Emirates Retail 75,T3,seller_fulfilled,local,2023-04-28
S00077,Pearl General 76,T2,marketplace_fulfilled,local,2021-06-15
S00078,Desert Mart 77,T2,seller_fulfilled,cross_border,2023-02-26
S00079,Emirates Mart 78,,marketplace_fulfilled,cross_border,2025-10-14
S00080,Falcon Mart 79,T3,seller_fulfilled,local,2024-08-24
S00081,Sahara Retail 80,T1,marketplace_fulfilled,cross_border,2022-11-21
S00082,Emirates Commerce 81,T1,marketplace_fulfilled,local,2025-08-05
S00083,Desert Mart 82,T3,marketplace_fulfilled,local,2023-11-06
S00084,Pearl Retail 83,T2,seller_fulfilled,local,2024-06-19
S00085,Pearl Stores 84,T2,seller_fulfilled,cross_border,2024-05-30
S00086,Gulf General 85,T2,seller_fulfilled,local,2024-12-07
S00087,Falcon Commerce 86,T2,seller_fulfilled,local,2024-07-03
S00088,Desert Mart 87,T2,seller_fulfilled,local,2023-06-17
S00089,Sahara Trading 88,T2,marketplace_fulfilled,cross_border,2022-04-13
S00090,Desert Commerce 89,T2,seller_fulfilled,local,2025-10-19
S00091,Gulf Mart 90,T3,seller_fulfilled,LOCAL,2025-09-25
S00092,Desert General 91,T2,seller_fulfilled,cross_border,2024-02-15
S00093,Pearl Retail 92,T2,seller_fulfilled,local,2024-06-07
S00094,Pearl Commerce 93,T3,marketplace_fulfilled,local,2021-11-10
S00095,Prime Retail 94,T3,marketplace_fulfilled,local,2022-05-29
S00096,Prime General 95,T3,marketplace_fulfilled,local,2022-05-16
S00097,Sahara General 96,T3,seller_fulfilled,cross_border,2025-06-19
S00098,Nova Stores 97,T3,marketplace_fulfilled,local,2022-04-10
S00099,Prime Retail 98,T2,marketplace_fulfilled,local,2023-10-11
S00100,Desert Trading 99,T2,seller_fulfilled,local,2022-02-26
S00101,Prime General 100,T3,marketplace_fulfilled,local,2022-02-28
S00102,Gulf Mart 101,T3,seller_fulfilled,local,2023-08-16
S00103,Gulf Trading 102,T2,seller_fulfilled,local,2023-01-07
S00104,Falcon Mart 103,T1,marketplace_fulfilled,cross_border,2021-11-10
S00105,Desert Commerce 104,T1,seller_fulfilled,local,2023-10-05
S00106,Falcon Mart 105,T3,seller_fulfilled,local,2023-04-27
S00107,Gulf Trading 106,T2,seller_fulfilled,local,2022-10-01
S00108,Falcon Commerce 107,T3,seller_fulfilled,cross_border,2023-01-14
S00109,Prime Retail 108,T3,seller_fulfilled,cross_border,2024-04-08
S00110,Desert Mart 109,T3,marketplace_fulfilled,local,2021-12-09
S00111,Nova Trading 110,T3,marketplace_fulfilled,local,2023-04-08
S00112,Prime General 111,,seller_fulfilled,local,2024-11-07
S00113,Pearl General 112,,seller_fulfilled,local,2023-09-22
S00114,Nova Mart 113,T3,marketplace_fulfilled,cross_border,2024-07-05
S00115,Nova Mart 114,T3,seller_fulfilled,cross_border,2024-05-25
S00116,Pearl General 115,T3,seller_fulfilled,cross_border,2021-01-25
S00117,Gulf General 116,T3,seller_fulfilled,local,2021-01-26
S00118,Desert Commerce 117,T2,marketplace_fulfilled,cross_border,2024-04-06
S00119,Nova Commerce 118,T3,marketplace_fulfilled,cross_border,2024-04-26
S00120,Gulf Retail 119,T1,seller_fulfilled,cross_border,2025-08-04
S00121,Pearl Stores 120,T3,seller_fulfilled,local,2021-06-11
S00122,Falcon Trading 121,T3,marketplace_fulfilled,local,2024-10-01
S00123,Sahara Trading 122,T3,marketplace_fulfilled,local,2021-03-08
S00124,Nova Retail 123,T2,marketplace_fulfilled,local,2023-02-27
S00125,Gulf Trading 124,T3,seller_fulfilled,local,15/01/2024
S00126,Sahara Commerce 125,T1,seller_fulfilled,local,2022-06-07
S00127,Sahara Retail 126,T2,marketplace_fulfilled,local,2021-04-05
S00128,Emirates Commerce 127,T1,marketplace_fulfilled,local,2025-07-18
S00129,Emirates Mart 128,T2,marketplace_fulfilled,cross_border,2022-08-06
S00130,Pearl Mart 129,T1,marketplace_fulfilled,local,2023-03-21
S00131,Desert Stores 130,T1,seller_fulfilled,local,2023-02-03
S00132,Prime Mart 131,T2,seller_fulfilled,local,2023-07-07
S00133,Sahara Mart 132,T3,MARKETPLACE_FULFILLED,local,2025-02-13
S00134,Sahara Trading 133,T2,marketplace_fulfilled,local,2023-03-23
S00135,Sahara Stores 134,T3,seller_fulfilled,cross_border,2021-02-12
S00136,Gulf Stores 135,T3,marketplace_fulfilled,cross_border,2025-02-08
S00137,Falcon General 136,T3,seller_fulfilled,local,2025-08-12
S00138,Desert Stores 137,T2,marketplace_fulfilled,cross_border,2025-05-12
S00139,Prime Mart 138,T1,MARKETPLACE_FULFILLED,local,2023-03-05
S00140,Gulf General 139,T3,marketplace_fulfilled,local,2024-04-04
S00141,Gulf Stores 140,T3,seller_fulfilled,local,2025-01-11
S00142,Emirates General 141,T1,marketplace_fulfilled,local,2022-05-27
S00143,Emirates Stores 142,T3,seller_fulfilled,cross_border,2026-01-13
S00144,Prime Mart 143,T2,seller_fulfilled,local,2022-10-21
S00145,Prime Commerce 144,,marketplace_fulfilled,local,2022-08-24
S00146,Sahara Stores 145,T3,MARKETPLACE_FULFILLED,local,25/10/2023
S00147,Gulf Retail 146,T3,marketplace_fulfilled,local,2021-12-08
S00148,Nova Trading 147,T3,seller_fulfilled,cross_border,2025-05-20
S00149,Pearl Retail 148,T2,marketplace_fulfilled,local,2023-11-14
S00150,Falcon Mart 149,T1,marketplace_fulfilled,local,2026-01-01
S00151,Prime Mart 150,T1,marketplace_fulfilled,local,2024-08-28
S00152,Nova General 151,T2,marketplace_fulfilled,local,2023-09-17
S00153,Nova Commerce 152,T3,marketplace_fulfilled,cross_border,2022-08-23
S00154,Falcon General 153,T3,seller_fulfilled,local,2024-02-18
S00155,Pearl Stores 154,T3,marketplace_fulfilled,local,2023-06-05
S00156,Gulf Retail 155,T2,seller_fulfilled,cross_border,2021-12-01
S00157,Falcon Commerce 156,T2,marketplace_fulfilled,local,2024-10-14
S00158,Nova Commerce 157,T2,marketplace_fulfilled,local,2021-04-11
S00159,Falcon Commerce 158,T2,marketplace_fulfilled,cross_border,08/01/2023
S00160,Emirates Mart 159,T1,marketplace_fulfilled,local,2021-07-17
S00161,Pearl Trading 160,T3,marketplace_fulfilled,cross_border,2023-07-07
S00162,Desert Commerce 161,T2,seller_fulfilled,local,2021-08-14
S00163,Gulf Retail 162,T3,marketplace_fulfilled,local,2022-12-13
S00164,Nova Mart 163,T2,marketplace_fulfilled,local,2021-02-14
S00165,Gulf Commerce 164,T3,marketplace_fulfilled,local,2025-12-09
S00166,Prime Retail 165,T2,marketplace_fulfilled,local,2025-03-27
S00167,Sahara Stores 166,T3,marketplace_fulfilled,local,2021-08-16
S00168,Sahara Retail 167,T2,seller_fulfilled,local,2024-02-20
S00169,Prime Stores 168,T3,seller_fulfilled,local,2023-01-22
S00170,Emirates Retail 169,T2,seller_fulfilled,local,2023-05-12
S00171,Pearl Commerce 170,T3,marketplace_fulfilled,local,2024-09-20
S00172,Gulf Retail 171,T3,seller_fulfilled,local,2024-04-22
S00173,Pearl Stores 172,T1,seller_fulfilled,cross_border,2024-06-03
S00174,Emirates Trading 173,T1,seller_fulfilled,local,2021-03-07
S00175,Desert General 174,T1,marketplace_fulfilled,local,2024-08-17
S00176,Nova Mart 175,T3,marketplace_fulfilled,local,09/12/2023
S00177,Desert Commerce 176,T2,seller_fulfilled,local,2023-12-19
S00178,Desert Commerce 177,T1,seller_fulfilled,cross_border,2023-03-20
S00179,Sahara Commerce 178,T3,seller_fulfilled,local,2022-09-13
S00180,Prime Stores 179,T3,seller_fulfilled,cross_border,2023-02-27
S00181,Falcon Mart 180,T3,seller_fulfilled,local,2021-01-11
S00182,Sahara Trading 181,T3,marketplace_fulfilled,local,2025-03-17
S00183,Falcon Stores 182,T3,marketplace_fulfilled,local,2024-01-12
S00184,Emirates Mart 183,T2,seller_fulfilled,local,2021-02-09
S00185,Gulf Commerce 184,T3,marketplace_fulfilled,local,2021-08-28
S00186,Nova Stores 185,T1,marketplace_fulfilled,cross_border,2024-12-14
S00187,Nova Trading 186,T3,seller_fulfilled,cross_border,2021-03-30
S00188,Desert Commerce 187,T2,marketplace_fulfilled,local,2022-01-25
S00189,Emirates Commerce 188,T3,seller_fulfilled,local,2023-12-23
S00190,Sahara Commerce 189,,SELLER_FULFILLED,cross_border,2022-12-20
S00191,Prime Commerce 190,T3,seller_fulfilled,cross_border,2022-05-11
S00192,Sahara General 191,T1,marketplace_fulfilled,local,2022-12-20
S00193,Desert Mart 192,T3,marketplace_fulfilled,cross_border,2021-07-21
S00194,Gulf Stores 193,T2,seller_fulfilled,local,10/12/2023
S00195,Prime General 194,T3,marketplace_fulfilled,local,2022-05-09
S00196,Prime General 195,T2,marketplace_fulfilled,local,2021-10-24
S00197,Gulf Commerce 196,,seller_fulfilled,local,2023-05-24
S00198,Gulf Trading 197,T1,seller_fulfilled,local,28/07/2023
S00199,Sahara Mart 198,T2,marketplace_fulfilled,cross_border,2024-07-08
S00200,Gulf Stores 199,T3,seller_fulfilled,local,2024-04-08
S00201,Falcon General 200,T3,marketplace_fulfilled,local,2023-12-21
S00202,Prime Commerce 201,T3,SELLER_FULFILLED,local,2024-05-05
S00203,Sahara Trading 202,T3,seller_fulfilled,local,2025-02-01
S00204,Gulf Retail 203,T3,marketplace_fulfilled,local,2025-11-18
S00205,Pearl Trading 204,T2,seller_fulfilled,local,2023-03-18
S00206,Desert Retail 205,T3,seller_fulfilled,local,2021-11-04
S00207,Pearl Retail 206,T2,marketplace_fulfilled,cross_border,2021-01-24
S00208,Emirates Trading 207,T1,seller_fulfilled,local,2025-09-24
S00209,Desert General 208,T3,seller_fulfilled,local,2021-06-29
S00210,Sahara Retail 209,,seller_fulfilled,cross_border,2023-05-24
S00211,Pearl Mart 210,T2,marketplace_fulfilled,cross_border,2023-05-15
S00212,Emirates Stores 211,T3,seller_fulfilled,local,2024-04-25
S00213,Gulf Stores 212,T3,MARKETPLACE_FULFILLED,local,2023-07-30
S00214,Emirates Stores 213,T2,seller_fulfilled,local,2023-06-03
S00215,Gulf Stores 214,T3,marketplace_fulfilled,local,2022-05-01
S00216,Prime Stores 215,T3,seller_fulfilled,local,2022-08-02
S00217,Falcon Commerce 216,T2,marketplace_fulfilled,cross_border,2024-04-09
S00218,Emirates Retail 217,T3,seller_fulfilled,cross_border,2024-05-22
S00219,Nova Trading 218,T2,seller_fulfilled,cross_border,2021-12-16
S00220,Falcon Retail 219,T2,marketplace_fulfilled,local,2024-09-13
S00221,Desert Stores 220,T3,seller_fulfilled,local,2025-06-22
S00222,Gulf Commerce 221,T3,seller_fulfilled,local,2024-03-03
S00223,Emirates Commerce 222,T2,seller_fulfilled,local,2024-07-30
S00224,Gulf General 223,T2,marketplace_fulfilled,cross_border,2023-12-24
S00225,Emirates Trading 224,T1,marketplace_fulfilled,cross_border,2023-11-20
S00226,Pearl General 225,,marketplace_fulfilled,local,2024-07-28
S00227,Pearl Trading 226,T3,SELLER_FULFILLED,cross_border,2025-02-12
S00228,Nova Mart 227,T3,MARKETPLACE_FULFILLED,local,2023-01-24
S00229,Sahara Commerce 228,T3,marketplace_fulfilled,local,2022-04-17
S00230,Gulf Mart 229,T1,seller_fulfilled,local,2025-05-26
S00231,Nova Trading 230,T3,seller_fulfilled,cross_border,2025-06-14
S00232,Emirates General 231,T1,marketplace_fulfilled,local,2023-12-19
S00233,Pearl Retail 232,T3,marketplace_fulfilled,local,2023-06-01
S00234,Pearl Trading 233,T3,marketplace_fulfilled,cross_border,12/01/2024
S00235,Emirates Commerce 234,T2,seller_fulfilled,local,2025-07-24
S00236,Nova Trading 235,T2,marketplace_fulfilled,cross_border,2024-04-25
S00237,Nova Stores 236,T2,seller_fulfilled,local,2024-07-14
S00238,Emirates Retail 237,T3,marketplace_fulfilled,local,2024-07-02
S00239,Emirates Mart 238,T2,marketplace_fulfilled,local,2021-08-11
S00240,Gulf Retail 239,T2,marketplace_fulfilled,local,2024-01-12
S00241,Prime General 240,T2,marketplace_fulfilled,local,2024-01-08
S00242,Emirates Commerce 241,T2,marketplace_fulfilled,local,2026-01-01
S00243,Emirates Mart 242,T2,seller_fulfilled,cross_border,2025-09-05
S00244,Emirates Trading 243,, seller_fulfilled ,local,21/12/2021
S00245,Nova Mart 244,T3,seller_fulfilled,local,2023-01-11
S00246,Prime Stores 245,T1, seller_fulfilled ,local,2022-03-06
S00247,Falcon Mart 246,T3,seller_fulfilled,local,2025-09-03
S00248,Gulf General 247,T1,marketplace_fulfilled,local,2024-01-16
S00249,Falcon Trading 248,T1,seller_fulfilled,local,2021-10-30
S00250,Gulf General 249,T3,seller_fulfilled,local,2023-08-29
S00251,Pearl General 250,T3,seller_fulfilled,local,2025-11-28
S00252,Nova Commerce 251,T2,marketplace_fulfilled, local ,2024-06-13
S00253,Emirates Trading 252,T3,seller_fulfilled,cross_border,2023-11-25
S00254,Sahara Mart 253,T3,marketplace_fulfilled,cross_border,2023-07-17
S00255,Nova Trading 254,T3,seller_fulfilled,local,2025-11-12
S00256,Pearl Commerce 255,T2,seller_fulfilled,cross_border,2024-12-10
S00257,Pearl Stores 256,T2,marketplace_fulfilled,local,2021-06-30
S00258,Pearl Trading 257,T3,seller_fulfilled,local,2025-02-28
S00259,Desert Stores 258,T2,marketplace_fulfilled,local,2024-09-07
S00260,Prime Stores 259,T3,seller_fulfilled,cross_border,2022-03-23
S00261,Sahara Retail 260,T3,seller_fulfilled,local,2021-09-27
S00262,Pearl Mart 261,T2,marketplace_fulfilled,local,2024-06-09
S00263,Gulf Stores 262,T3,SELLER_FULFILLED,local,2024-04-21
S00264,Desert Mart 263,T3,marketplace_fulfilled,local,2021-03-11
S00265,Falcon Stores 264,T3,marketplace_fulfilled,local,2023-04-08
S00266,Emirates General 265,T3,marketplace_fulfilled,local,2024-06-04
S00267,Desert Mart 266,T3,marketplace_fulfilled,cross_border,2024-07-01
S00268,Prime Trading 267,T3,marketplace_fulfilled,local,2022-09-02
S00269,Pearl Stores 268,T3,seller_fulfilled,cross_border,2023-01-25
S00270,Nova Commerce 269,T1,marketplace_fulfilled,local,2021-07-21
S00271,Emirates Trading 270,T3,marketplace_fulfilled,local,2021-05-17
S00272,Desert Mart 271,T3,marketplace_fulfilled,local,2021-04-08
S00273,Falcon Retail 272,T1,seller_fulfilled,local,2023-07-15
S00274,Pearl Retail 273,T2,marketplace_fulfilled,local,2025-04-01
S00275,Falcon Mart 274,T3,seller_fulfilled,local,2022-01-22
S00276,Desert Trading 275,T3,marketplace_fulfilled,local,2025-09-17
S00277,Emirates Stores 276,T2,marketplace_fulfilled,cross_border,2021-11-17
S00278,Prime Retail 277,T2,marketplace_fulfilled,cross_border,2023-10-17
S00279,Pearl Retail 278,T3,seller_fulfilled,cross_border,2025-07-13
S00280,Falcon Trading 279,T3,seller_fulfilled,cross_border,2025-01-13
S00281,Emirates Mart 280,,marketplace_fulfilled,cross_border,2025-05-23
S00282,Desert Retail 281,T3,seller_fulfilled,local,2024-06-29
S00283,Falcon General 282,T2,seller_fulfilled,local,2021-10-03
S00284,Gulf Stores 283,T3,seller_fulfilled,local,2023-02-02
S00285,Desert Commerce 284,T2,seller_fulfilled,local,2022-12-28
S00286,Nova Trading 285,T3,seller_fulfilled,LOCAL,12/03/2024
S00287,Pearl Trading 286,T3,seller_fulfilled,local,2025-06-19
S00288,Nova Stores 287,T3,marketplace_fulfilled,cross_border,2025-09-12
S00289,Sahara Stores 288,T3,seller_fulfilled,local,2022-09-28
S00290,Gulf Mart 289,T3,seller_fulfilled,local,2023-06-26
S00291,Falcon Retail 290,T1,marketplace_fulfilled,cross_border,2025-03-08
S00292,Gulf Mart 291,T3,seller_fulfilled,local,2024-10-15
S00293,Desert Mart 292,T3,marketplace_fulfilled,cross_border,2022-08-26
S00294,Pearl Trading 293,T1,marketplace_fulfilled,local,2021-06-24
S00295,Desert Trading 294,T2,marketplace_fulfilled,local,2025-04-04
S00296,Pearl Stores 295,T3,marketplace_fulfilled,cross_border,2022-01-25
S00297,Emirates Mart 296,T3,seller_fulfilled,local,2022-02-23
S00298,Pearl General 297,T2,seller_fulfilled,cross_border,2024-07-10
S00299,Pearl Retail 298,T1,seller_fulfilled,local,2024-07-08
S00300,Falcon General 299,T1,marketplace_fulfilled,local,2022-10-24
S00301,Prime Retail 300,T2,marketplace_fulfilled,local,26/12/2023
S00302,Falcon Commerce 301,T3,marketplace_fulfilled,local,26/12/2021
S00303,Prime Commerce 302,T1,marketplace_fulfilled,local,2022-05-05
S00304,Gulf Stores 303,T2,marketplace_fulfilled,local,2021-08-29
S00305,Desert Trading 304,T3,seller_fulfilled,cross_border,2025-08-23
S00306,Falcon General 305,T2,seller_fulfilled,local,2023-11-28
S00307,Nova Commerce 306,T3,seller_fulfilled,local,2021-08-26
S00308,Emirates Trading 307,T2,marketplace_fulfilled,local,2023-02-21
S00309,Pearl Commerce 308,T3,marketplace_fulfilled,local,2024-10-16
S00310,Falcon Commerce 309,T3,marketplace_fulfilled,local,2025-12-20
S00311,Nova Retail 310,T3,seller_fulfilled,local,2023-07-18
S00312,Emirates Retail 311,T2,seller_fulfilled,local,2024-12-01
S00313,Pearl General 312,T3,marketplace_fulfilled,local,2025-05-07
S00314,Emirates Retail 313,T2,marketplace_fulfilled,local,2024-03-25
S00315,Emirates Stores 314,T3,marketplace_fulfilled,local,2022-09-20
S00316,Falcon General 315,T3,marketplace_fulfilled,local,2021-05-14
S00317,Sahara Retail 316,T3,marketplace_fulfilled,cross_border,2022-12-01
S00318,Pearl Trading 317,T2,marketplace_fulfilled,cross_border,2025-07-31
S00319,Prime Mart 318,T3,marketplace_fulfilled,cross_border,2023-07-04
S00320,Emirates Retail 319,T2,marketplace_fulfilled,local,2025-08-25
S00321,Pearl Stores 320,T2,marketplace_fulfilled,local,2021-06-06
S00322,Emirates Stores 321,T2,marketplace_fulfilled,cross_border,2022-01-28
S00323,Nova Stores 322,T2,seller_fulfilled,local,2022-10-09
S00324,Falcon Trading 323,T3,marketplace_fulfilled,cross_border,2021-07-09
S00325,Sahara Retail 324,T3,marketplace_fulfilled,local,2025-08-20
S00326,Pearl General 325,T3,seller_fulfilled,local,2025-07-17
S00327,Nova General 326,T2,marketplace_fulfilled,local,2022-03-31
S00328,Emirates Retail 327,T2,seller_fulfilled,local,2023-11-12
S00329,Desert Stores 328,T2,seller_fulfilled,local,2023-07-10
S00330,Prime Mart 329,T2,marketplace_fulfilled,local,2025-09-22
S00331,Nova Stores 330,T3,marketplace_fulfilled,cross_border,2024-05-13
S00332,Pearl Commerce 331,T2,seller_fulfilled,local,2023-04-25
S00333,Sahara Mart 332,T3,seller_fulfilled,local,2024-09-30
S00334,Pearl Mart 333,T2,marketplace_fulfilled,local,2023-10-26
S00335,Desert Retail 334,,marketplace_fulfilled,local,2021-02-24
S00336,Pearl General 335,T3,marketplace_fulfilled,cross_border,2023-08-30
S00337,Pearl Commerce 336,T3,marketplace_fulfilled,local,2022-06-25
S00338,Pearl Commerce 337,T2,marketplace_fulfilled,cross_border,2023-08-01
S00339,Pearl Commerce 338,T1,marketplace_fulfilled,cross_border,2022-02-03
S00340,Falcon Stores 339,T1,seller_fulfilled,cross_border,2021-06-12
S00341,Desert Trading 340,T3,seller_fulfilled,cross_border,2021-02-16
S00342,Desert General 341,T2,marketplace_fulfilled,local,2023-08-15
S00343,Prime Retail 342,T2,marketplace_fulfilled,local,2023-05-30
S00344,Desert General 343,T1,seller_fulfilled,local,2025-02-27
S00345,Prime Mart 344,T2,seller_fulfilled,local,2023-12-30
S00346,Gulf Trading 345,T1,marketplace_fulfilled,local,2021-10-12
S00347,Gulf Retail 346,T2,marketplace_fulfilled,local,2023-09-21
S00348,Pearl Trading 347,T2,seller_fulfilled,local,2025-12-13
S00349,Nova Trading 348,T1,marketplace_fulfilled,local,2024-06-09
S00350,Emirates Trading 349,T3,seller_fulfilled,local,04/07/2024
S00351,Prime Commerce 350,T2,seller_fulfilled,cross_border,2022-07-04
S00352,Prime Stores 351,T1,marketplace_fulfilled,local,2024-09-21
S00353,Falcon Trading 352,T3,seller_fulfilled,local,2023-12-05
S00354,Prime Mart 353,T1,seller_fulfilled,local,2022-04-03
S00355,Nova Mart 354,T3,seller_fulfilled,local,2022-04-14
S00356,Falcon Commerce 355,T3,seller_fulfilled,local,2023-08-10
S00357,Sahara Mart 356,T2,seller_fulfilled,LOCAL,2021-05-27
S00358,Desert Trading 357,T3,marketplace_fulfilled,local,2023-02-20
S00359,Nova Stores 358,T3,seller_fulfilled,local,2021-03-17
S00360,Nova General 359,T3,seller_fulfilled,cross_border,2023-04-15
S00361,Sahara Trading 360,T2,seller_fulfilled,cross_border,2024-02-08
S00362,Sahara Retail 361,T3,seller_fulfilled,local,2022-08-05
S00363,Falcon Retail 362,T3,marketplace_fulfilled,local,2023-06-28
S00364,Sahara Mart 363,T2,seller_fulfilled,local,2021-07-29
S00365,Sahara Retail 364,T3,seller_fulfilled,local,2024-09-12
S00366,Emirates Trading 365,T2,seller_fulfilled,local,2024-06-18
S00367,Prime Stores 366,T3,marketplace_fulfilled,local,2023-02-27
S00368,Sahara General 367,T2,marketplace_fulfilled,local,2023-09-20
S00369,Sahara Trading 368,T3,marketplace_fulfilled,local,2022-03-12
S00370,Nova Retail 369,T2,marketplace_fulfilled,local,08/03/2021
S00371,Gulf Stores 370,T1,seller_fulfilled,local,2021-03-03
S00372,Prime Commerce 371,T1,seller_fulfilled,local,2025-05-14
S00373,Prime Retail 372,T2,marketplace_fulfilled,local,2025-02-14
S00374,Gulf Trading 373,T3,marketplace_fulfilled,cross_border,2022-04-07
S00375,Falcon Commerce 374,T2,marketplace_fulfilled,local,2025-11-08
S00376,Pearl General 375,T2,seller_fulfilled,cross_border,2023-05-07
S00377,Sahara Commerce 376,T3,marketplace_fulfilled,local,2021-10-30
S00378,Prime Commerce 377,T3,marketplace_fulfilled,local,2024-07-31
S00379,Pearl Commerce 378,T3,marketplace_fulfilled,cross_border,2021-05-09
S00380,Falcon Trading 379,T2,seller_fulfilled,local,2025-10-09
S00381,Falcon Trading 380,T3,seller_fulfilled,local,2024-10-08
S00382,Gulf Trading 381,T2,marketplace_fulfilled,local,2022-07-18
