listing_id,seller_id,category,subcategory,brand,listing_created_date,price,discount_pct,image_count,has_video,title_length_chars,description_length_chars,specifications_filled_pct,has_size_chart,has_dimensions_listed,variant_count,item_weight_kg
L000068,S00444,Electronics,Cameras,Mid Brand,2025-04-18,701.12,0.061,3,True,43,261.0,0.426,False,False,2,0.68
L000069,S00252,Beauty,Skincare,Generic,2023-06-14,56.55,0.052,8,False,32,1065.0,0.671,False,True,4,0.66
L000070,S00340,Home,Decor,Generic,2023-09-20,239.16,0.006,7,False,85,780.0,,False,False,9,6.26
L000071,S00291,Sports,Activewear,Premium Brand,2023-12-03,232.13,0.018,5,False,72,623.0,0.876,False,False,9,4.1
L000072,S00450,Beauty,Haircare,Generic,2024-01-04,81.3,0.124,5,False,57,363.0,0.644,False,False,9,0.09
L000073,S00163,Home,Furniture,Generic,2025-11-05,482.15,0.079,3,False,41,429.0,,False,False,2,4.78
L000074,S00137,Sports,Shoes,Premium Brand,2024-12-06,216.12,0.175,1,False,78,244.0,0.862,False,False,2,4.5
L000075,S00161,Beauty,Skincare,Private Label,2024-04-15,102.47,0.302,3,False,67,798.0,0.736,False,False,3,0.16
L000076,S00355,HOME,Kitchen,Premium Brand,2025-04-19,166.93,0.221,6,True,8,651.0,0.333,False,False,2,
L000077,S00088,Electronics,Cameras,,2023-08-09,500.04,0.163,4,False,52,565.0,0.402,False,True,2,1.25
L000078,S00192,Electronics,Small Appliances,Premium Brand,2023-01-26,533.89,0.206,12,True,57,530.0,0.901,False,True,3,0.23
L000079,S00162,Fashion,Sneakers,Generic,2026-01-16,63.62,0.014,5,False,54,1390.0,0.284,False,False,13,0.61
L000080,S00257,Home,Storage,Generic,2025-09-09,690.91,0.186,2,False,64,389.0,0.582,False,False,5,9.91
L000081,S00320,Fashion,Abayas,Private Label,2025-11-22,190.91,0.159,5,False,50,292.0,0.253,True,False,2,0.73
L000082,S00333,Electronics,Small Appliances,Private Label,2024-08-17,561.62,0.025,9,True,21,296.0,0.857,False,False,5,2.04
L000083,S00164,Fashion,Abayas,Premium Brand,2024-06-15,51.31,0.133,7,False,59,941.0,0.76,False,False,6,0.34
L000084,S00423,Sports,Shoes,Generic,2023-09-09,143.93,0.066,3,False,77,537.0,0.747,False,False,3,2.5
L000085,S00286,Electronics,Laptops,Imported Brand,2024-08-30,357.12,0.153,1,False,46,817.0,0.219,False,True,3,4.84
L000086,S00183,Fashion,Dresses,Generic,2023-11-11,88.66,0.038,4,False,46,251.0,0.555,False,False,11,0.51
L000087,S00370,Beauty,Skincare,Mid Brand,2023-07-30,388.22,0.201,5,False,58,514.0,0.523,False,True,4,0.61
L000088,S00080,Sports,Activewear,Premium Brand,2024-06-24,114.57,0.182,5,True,47,362.0,0.512,False,False,6,1.02
L000089,S00228,Home,Furniture,Generic,2025-09-25,306.96,0.301,5,False,81,519.0,0.768,False,False,4,9.53
L000090,S00234,Home,Furniture,Private Label,2024-12-06,315.43,0.092,3,False,46,518.0,0.526,False,True,3,4.43
L000091,S00334,Home,Decor,Private Label,2025-10-25,153.06,0.025,4,False,97,464.0,0.762,False,False,6,14.04
L000092,S00189,Electronics,Laptops,Generic,2025-02-02,349.01,0.299,2,False,34,340.0,0.432,False,False,2,1.12
L000093,S00335,Fashion,Dresses,Mid Brand,2024-09-11,295.79,0.08,8,True,42,302.0,0.451,True,False,7,0.61
L000094,S00036,Fashion,Dresses,Private Label,2025-07-14,78.59,0.322,6,False,53,118.0,0.36,False,False,3,0.63
L000095,S00421,Fashion,Jeans,Generic,2023-12-27,283.98,0.347,7,False,53,351.0,0.707,True,True,14,0.34
L000096,S00214,Home,Storage,Imported Brand,2024-11-06,81.64,0.203,6,False,98,295.0,0.537,False,False,3,2.36
L000097,S00218,Beauty,Fragrance,Premium Brand,2025-05-14,154.18,0.215,2,False,23,222.0,0.525,False,False,2,0.48
L000098,S00110,Beauty,Skincare,Premium Brand,2023-01-12,59.85,0.24,1,False,33,482.0,0.574,,True,4,0.63
L000099,S00255,Home,Decor,Premium Brand,2025-02-02,323.28,0.062,6,False,58,521.0,0.534,False,False,4,4.71
L000100,S00270,Home,Bedding,Mid Brand,2024-06-05,269.38,0.198,8,False,55,423.0,0.349,False,False,5,13.25
L000101,S00066,Electronics,Mobiles,Mid Brand,2024-10-11,385.7,0.171,5,False,38,603.0,,False,False,7,0.99
L000102,S00051, Electronics ,Laptops,Private Label,2026-05-10,642.19,0.123,4,False,69,257.0,0.811,False,False,6,1.34
L000103,S00448,Sports,Equipment,Imported Brand,2025-04-12,248.43,0.4,2,True,54,883.0,0.544,False,False,4,1.91
L000104,S00205,Fashion,T-Shirts,Generic,2025-12-16,90.45,0.058,5,True,40,400.0,0.405,False,True,10,1.19
L000105,S00337,Fashion,T-Shirts,Mid Brand,2023-02-16,106.55,0.144,5,False,68,457.0,0.46,False,True,17,1.17
L000106,S00130,Sports,Activewear,Generic,2024-01-11,109.72,0.043,9,False,78,1638.0,0.697,False,True,5,1.77
L000107,S00087,Fashion,Watches,Mid Brand,2025-09-05,208.16,0.083,3,True,77,345.0,0.604,False,False,6,1.03
L000108,S00136,Electronics,Mobiles,Generic,2025-02-12,335.35,0.469,4,False,11,259.0,0.302,,True,2,0.27
L000109,S00427,Sports,Outdoor,Premium Brand,2026-02-17,220.45,0.133,6,False,73,1250.0,,False,True,9,4.69
L000110,S00014,Beauty,Skincare,Private Label,2024-12-27,200.17,0.323,11,False,44,596.0,0.993,False,True,1,0.64
L000111,S00052,Fashion,Sneakers,Imported Brand,2023-10-31,63.31,0.147,2,False,38,281.0,0.57,,True,4,0.62
L000112,S00232,Beauty,Fragrance,Mid Brand,2024-02-26,49.06,0.298,5,False,45,,0.68,False,False,3,0.79
L000113,S00153,Fashion,Dresses,Private Label,2025-11-24,161.05,0.117,6,False,33,984.0,0.508,True,True,9,1.08
L000114,S00239,Home,Decor,Generic,2024-07-16,188.8,0.054,5,True,93,598.0,0.411,False,True,5,2.46
L000115,S00176,Home,Furniture,Mid Brand,2024-06-25,173.23,0.079,4,False,80,1524.0,0.676,False,True,1,3.81
L000116,S00329,Fashion,Dresses,Mid Brand,2026-02-09,259.78,0.104,3,False,75,512.0,0.593,True,False,6,0.58
L000117,S00199,Beauty,Skincare,Private Label,2023-06-16,49.96,0.016,3,False,65,826.0,0.73,False,True,5,0.64
L000118,S00244,Fashion,Abayas,Private Label,2023-11-04,74.31,0.246,3,False,52,365.0,0.601,True,True,7,1.13
L000119,S00082,Electronics,Mobiles,Mid Brand,2026-03-11,245.68,0.027,6,False,91,1576.0,0.652,False,,6,0.27
L000120,S00368,Home,Storage,Private Label,2025-01-05,237.64,0.351,7,False,65,803.0,0.878,False,True,4,7.63
L000121,S00174,Fashion,T-Shirts,Private Label,2024-10-27,168.99,0.042,3,False,80,582.0,0.719,True,True,4,0.91
L000122,S00014,Home,Bedding,Premium Brand,2024-04-12,133.05,0.318,6,False,69,563.0,0.478,False,True,1,5.02
L000123,S00409,Fashion,Dresses,Mid Brand,2025-06-17,167.46,0.104,3,False,35,124.0,0.462,,False,8,0.78
L000124,S00140,Fashion,Abayas,Premium Brand,2023-03-10,,0.126,4,False,60,3416.0,0.703,False,False,9,0.22
L000125,S00210,Electronics,Cameras,Mid Brand,2023-09-19,744.77,0.231,6,False,73,238.0,0.424,False,False,3,1.23
L000126,S00127,Home,Storage,Generic,2023-06-21,445.08,0.028,4,False,67,301.0,0.731,False,True,3,6.38
L000127,S00423,Home,Furniture,Generic,2025-10-11,86.21,0.051,7,False,74,337.0,0.576,False,False,5,6.1
L000128,S00206,Beauty,Makeup,Generic,2025-01-25,167.99,0.006,1,False,40,361.0,0.37,False,False,5,0.31
L000129,S00072,Electronics,Cameras,Private Label,2026-01-30,805.29,0.352,4,False,95,246.0,0.636,True,True,5,0.54
L000130,S00074,Electronics,Headphones,Generic,2024-06-08,366.65,0.002,5,False,54,509.0,0.665,False,False,1,0.61
L000131,S00145,Beauty,Skincare,Premium Brand,2023-03-16,120.23,0.184,4,False,87,336.0,0.462,False,True,2,0.44
L000132,S00122,Home,Furniture,Generic,2025-01-16,302.04,0.206,6,False,48,755.0,0.423,False,False,2,10.03
L000133,S00397,Beauty,Makeup,Imported Brand,2023-12-26,38.3,0.03,2,False,55,2348.0,0.581,False,False,4,0.57
L000134,S00430,Home,Furniture,Premium Brand,2023-07-27,205.4,0.018,6,False,36,262.0,0.364,False,False,4,7.56
L000135,S00261,Sports,Activewear,Mid Brand,2023-01-14,294.44,0.087,3,False,74,940.0,0.35,,True,5,
L000136,S00335,Electronics,Laptops,Mid Brand,2024-11-26,773.78,0.227,3,False,53,923.0,0.447,False,False,5,0.44
L000137,S00105,Home,Bedding,Private Label,2023-10-23,135.5,0.114,8,False,110,,0.924,False,True,1,13.31
L000138,S00264,Home,Kitchen,Generic,2024-05-22,59.94,0.042,5,True,71,347.0,1.0,False,False,1,2.79
L000139,S00440,Beauty,Fragrance,Private Label,2024-01-06,127.67,0.061,4,False,38,1079.0,0.527,False,True,4,0.49
L000140,S00178,Electronics,Small Appliances,Premium Brand,2025-11-08,182.06,0.031,3,False,46,824.0,0.565,False,,6,0.54
L000141,S00363,Electronics,Mobiles,Generic,2026-03-13,1088.85,0.433,1,False,89,542.0,0.444,False,True,5,0.51
L000142,S00095,Home,Storage,Private Label,2025-10-12,235.74,0.074,7,False,63,386.0,0.574,False,True,4,5.12
L000143,S00251,Home,Kitchen,Mid Brand,2023-11-03,369.58,0.07,1,False,26,567.0,0.415,False,True,6,3.57
L000144,S00022,Sports,Equipment,Generic,2024-03-23,180.64,0.245,1,False,86,361.0,0.621,False,False,5,0.22
L000145,S00301,Fashion,Watches,Mid Brand,2023-10-16,42.3,0.149,2,True,59,927.0,0.693,True,True,8,1.06
L000146,S00043,Home,Furniture,Premium Brand,2023-11-14,167.08,0.185,4,False,47,734.0,0.822,False,True,4,6.16
L000147,S00060,Fashion,Sneakers,,2023-06-09,156.56,0.275,12,False,74,1003.0,0.743,True,False,8,0.27
L000148,S00418,Electronics,Cameras,Generic,2023-11-02,370.64,0.057,8,False,58,1704.0,0.817,False,False,3,4.96
L000149,S00199,Fashion,Dresses,Private Label,2023-08-04,231.01,0.456,7,False,49,360.0,0.589,True,True,12,0.66
L000150,S00449,Electronics,Headphones,Mid Brand,2025-01-18,354.18,0.289,4,False,71,251.0,0.636,False,False,5,0.88
L000151,S00422,Beauty,Makeup,Mid Brand,2025-06-10,206.05,0.072,4,False,58,208.0,0.485,False,True,3,0.09
L000152,S00230,Beauty,Skincare,Generic,2026-05-06,41.51,0.212,8,False,75,279.0,0.719,False,False,9,0.48
L000153,S00398,Electronics,Headphones,Generic,2025-01-04,318.32,0.281,5,False,54,417.0,0.803,True,False,2,3.29
L000154,S00387,Beauty,Makeup,Mid Brand,2024-10-14,47.13,0.128,9,False,93,808.0,0.435,True,False,6,0.69
L000155,S00301,Fashion,Watches,Generic,2025-05-30,57.04,0.113,3,False,43,531.0,0.459,False,False,5,0.73
L000156,S00201,Fashion,Sneakers,Generic,2024-12-24,25.77,0.018,8,False,40,993.0,1.0,False,True,7,0.4
L000157,S00117,Home,Bedding,Premium Brand,2023-02-05,531.19,0.036,9,False,91,1129.0,0.725,False,True,2,1.94
L000158,S00327,Beauty,Haircare,Generic,2023-06-22,58.66,0.188,4,False,60,265.0,0.466,False,False,6,0.17
L000159,S00340,Fashion,Watches,Mid Brand,2025-12-28,123.46,0.355,3,False,15,499.0,0.666,True,False,12,1.14
L000160,S00137,Home,Kitchen,Private Label,2024-03-08,101.14,0.042,7,False,33,252.0,0.571,False,False,2,10.67
L000161,S00121,Home,Bedding,Generic,2023-09-04,131.98,0.291,8,False,38,263.0,0.559,,False,3,11.78
L000162,S00031,Electronics,Headphones,Generic,2024-01-09,445.93,0.084,3,False,69,260.0,0.487,False,False,7,1.02
L000163,S00218, Fashion ,Jeans,Private Label,2025-04-25,79.5,0.104,6,False,66,663.0,0.791,False,True,8,0.7
L000164,S00122,Beauty,Makeup,,2023-05-26,57.59,0.107,3,False,42,185.0,0.757,False,True,2,0.7
L000165,S00098,Home,Bedding,Generic,2025-09-21,485.07,0.186,5,False,47,525.0,0.63,False,False,4,12.28
L000166,S00434,Beauty,Fragrance,Private Label,2026-04-02,55.28,0.33,4,False,48,735.0,0.723,False,True,3,0.54
L000167,S00329,Electronics,Cameras,Generic,2023-03-18,286.43,0.205,4,False,88,746.0,0.518,False,True,6,7.26
L000168,S00197,Fashion,Jeans,Private Label,2024-03-15,93.83,0.211,5,False,57,411.0,0.868,True,False,5,0.47
L000169,S00403,Fashion,Jeans,Generic,2024-09-14,220.87,0.097,3,False,63,979.0,0.519,True,False,8,0.24
L000170,S00125,Fashion,Jeans,Mid Brand,2025-01-27,22.87,0.303,3,True,76,1029.0,0.688,True,False,16,0.97
L000171,S00203,Fashion,Sneakers,Mid Brand,2025-05-11,378.76,0.084,8,False,55,545.0,0.572,True,False,7,1.01
L000172,S00231,Sports,Activewear,Mid Brand,2025-05-31,112.72,0.078,8,False,64,421.0,0.726,False,True,4,2.94
L000173,S00311,Fashion,Jeans,Private Label,2025-04-21,262.07,0.027,7,False,92,2271.0,0.981,False,False,3,1.15
L000174,S00288,Fashion,Sneakers,Generic,2025-10-24,213.8,0.11,2,False,28,331.0,0.528,False,False,3,1.0
L000175,S00134,Fashion,Watches,Private Label,2025-12-23,162.58,0.155,5,False,80,1138.0,0.37,True,False,6,0.51
L000176,S00201,Fashion,Abayas,Generic,2024-03-18,42.99,0.292,6,False,62,462.0,0.95,True,False,6,0.35
L000177,S00447,Home,Decor,Private Label,2023-02-19,468.16,0.19,-1,False,44,343.0,0.716,False,False,4,5.15
L000178,S00047,Home,Furniture,Mid Brand,2023-11-20,312.41,0.207,6,False,51,797.0,0.505,False,False,3,13.82
L000179,S00099,Home,Furniture,Premium Brand,2026-03-29,177.43,0.053,8,False,38,1110.0,0.85,False,False,6,8.29
L000180,S00268,Electronics,Small Appliances,Private Label,2023-11-16,171.94,0.082,3,False,34,333.0,0.22,False,True,2,5.91
L000181,S00240,Home,Storage,Private Label,2024-05-08,162.98,0.109,2,False,71,186.0,0.761,False,False,4,12.69
L000182,S00090,Sports,Outdoor,Premium Brand,2025-01-08,280.06,0.073,1,False,53,231.0,0.523,False,False,3,4.72
L000183,S00387,Home,Storage,Generic,2024-09-17,222.11,0.029,2,False,63,260.0,0.257,False,False,2,10.83
L000184,S00093,Home,Decor,Mid Brand,2026-02-17,235.72,0.161,10,False,74,336.0,0.493,,False,6,11.58
L000185,S00043,Fashion,Abayas,Mid Brand,2024-07-31,100.16,0.394,7,False,82,232.0,0.367,True,False,8,0.53
L000186,S00089,Electronics,Cameras,Imported Brand,2024-05-02,527.59,0.015,3,False,41,536.0,0.571,False,False,4,1.45
L000187,S00266,Electronics,Laptops,Mid Brand,2023-08-16,322.72,0.252,4,False,44,602.0,0.462,False,False,8,3.92
L000188,S00409,Sports,Activewear,Generic,2024-12-27,141.96,0.209,5,True,42,582.0,0.619,False,True,7,2.18
L000189,S00337,Beauty,Makeup,,2024-03-09,36.82,0.016,6,False,63,518.0,0.652,False,True,3,0.57
L000190,S00303,Sports,Shoes,Mid Brand,2024-07-21,206.64,0.286,6,False,119,582.0,0.627,False,False,11,1.34
L000191,S00436,Electronics,Cameras,Mid Brand,2026-04-19,1186.16,0.087,3,False,35,886.0,0.87,False,,3,1.06
L000192,S00094,Electronics,Headphones,Generic,2026-03-03,175.4,0.062,5,True,93,1358.0,0.459,False,False,7,3.25
L000193,S00214,Home,Decor,Private Label,2023-03-22,305.5,0.102,7,False,72,1297.0,0.626,False,False,5,5.58
L000194,S00190,Home,Storage,Imported Brand,2025-11-25,112.56,0.101,6,False,59,596.0,0.723,,False,1,2.08
L000195,S00308,Electronics,Mobiles,Generic,2025-08-23,150.8,0.082,5,False,52,555.0,0.714,False,False,6,0.45
L000196,S00310,Beauty,Haircare,Generic,2023-01-04,63.53,0.099,2,False,58,1011.0,0.424,False,False,6,0.62
L000197,S00387,Fashion,T-Shirts,Mid Brand,2025-04-25,92.57,0.137,2,True,45,396.0,0.695,False,False,4,0.4
L000198,S00362,Fashion,Abayas,Imported Brand,2023-01-31,71.18,0.308,1,True,44,1290.0,0.51,True,False,13,0.26
L000199,S00168,Fashion,Jeans,Mid Brand,2025-05-01,165.84,0.352,3,False,93,712.0,0.731,True,False,11,0.89
L000200,S00177,Fashion,Sneakers,Generic,2023-04-30,79.39,0.494,5,False,50,328.0,0.35,,True,9,0.77
L000201,S00186,Sports,Activewear,Private Label,2023-08-18,56.39,0.219,10,False,62,1069.0,0.786,False,False,4,1.7
L000202,S00091,Fashion,Jeans,Generic,2024-12-03,59.51,0.163,4,True,58,318.0,0.323,True,True,7,1.07
L000203,S00021,Electronics,Small Appliances,Private Label,2024-04-29,624.56,0.111,4,False,23,408.0,0.76,False,False,2,0.37
L000204,S00333,Home,Bedding,Mid Brand,2023-01-17,104.45,0.418,7,False,85,210.0,0.483,False,True,1,12.64
L000205,S00056,Fashion,Sneakers,,2024-08-06,203.05,0.327,2,True,63,163.0,0.365,False,False,6,1.14
L000206,S00388,Beauty,Skincare,Mid Brand,2023-07-27,140.28,0.454,3,False,15,534.0,0.525,False,False,1,0.09
L000207,S00351,Sports,Activewear,Generic,2025-04-18,165.84,0.057,6,False,98,1127.0,0.934,False,False,5,2.12
L000208,S00316,Electronics,Cameras,Private Label,2023-04-10,1047.51,0.236,2,False,52,671.0,0.798,False,True,5,0.42
L000209,S00055,Beauty,Fragrance,Private Label,2026-02-01,70.13,0.391,1,False,8,327.0,0.278,False,False,1,0.77
L000210,S00046,Beauty,Makeup,Generic,2025-06-21,54.14,0.062,2,False,86,687.0,0.64,False,True,7,0.49
L000211,S00215,Fashion,Watches,Mid Brand,2024-09-27,144.2,0.019,4,False,34,413.0,0.427,True,False,5,1.1
L000212,S00319,Fashion,Abayas,Private Label,2026-05-20,144.25,0.119,2,False,36,582.0,0.464,True,False,7,1.11
L000213,S00394,Beauty,Makeup,Generic,2023-10-24,99.11,0.205,5,True,60,1328.0,0.505,False,,5,0.31
L000214,S00159,Home,Storage,Private Label,2025-09-16,109.31,0.1,5,False,59,270.0,0.586,False,True,3,2.24
L000215,S00380,Electronics,Cameras,Generic,2025-05-23,926.71,0.064,3,False,50,921.0,0.178,False,True,6,0.22
L000216,S00175,Fashion,Abayas,Generic,2023-11-09,31.15,0.022,6,False,74,518.0,,,False,10,0.4
L000217,S00003,Sports,Outdoor,Imported Brand,2024-10-03,83.63,0.137,4,False,50,298.0,0.42,False,False,1,1.48
L000218,S00428,Electronics,Laptops,Mid Brand,2023-06-17,407.48,0.044,4,False,44,680.0,0.518,False,True,5,0.75
L000219,S00281,Sports,Outdoor,Private Label,2025-07-31,223.31,0.315,5,True,35,360.0,0.384,False,True,6,1.36
L000220,S00069,Fashion,Dresses,Private Label,2024-06-06,184.42,0.576,3,False,53,297.0,0.734,False,False,6,0.87
L000221,S00237,Electronics,Mobiles,Mid Brand,2025-10-06,1313.65,0.094,1,False,29,688.0,0.382,,True,6,4.05
L000222,S00019,Fashion,Abayas,Mid Brand,2026-03-23,86.62,0.152,8,False,40,267.0,0.825,True,True,10,0.73
L000223,S00248,fashion,Jeans,Imported Brand,2023-07-16,269.11,0.013,5,False,57,279.0,0.668,,False,8,0.38
